,text,score,kelas,,,,,,,
29,uji klinik fase vaksin corona bandung reaksi mengkhawatirkan,-1,negatif,,,,,,,
30,bpom terbitkan izin edar vaksin corona aman,1,positif,,,,,,,
31, perkembangan vaksin virus corona covid produksi negeri,-1,negatif,,,,,,,
32, pandemi corona menjadikan spirit perusahaan farmasi aktif berkontribusi produksi tergantung impor,0,netral,,,,,,,
33,pemerintah presiden jokowi staf khusus menteri kesehatan ri kemenkes alexander kaliaga ganteng suka provinsi prioritas penerima vaksin corona daftarnya,2,positif,,,,,,,
34,ilmuwan as yakini aman tidaknya vaksin corona november seju,1,positif,,,,,,,
35, vaksin corona bocorannya vaksin corona ,0,netral,,,,,,,
36,bawa vaksin corona produk perancis,0,netral,,,,,,,
37,pandemi corona melumpuhkan sendi kehidupan negara terkecuali negara diproduksinya harapan pandemi corona,-1,negatif,,,,,,,
38,ditargetkan diproduksi massal mengatasi pandemi virus corona pemerintah mengandalkan vaksin buatan ,0,netral,,,,,,,
39,laporan vaksin corona sinovac selesai januari,0,netral,,,,,,,
40,vaksin merah putih ditargetkan diproduksi massal mengatasi pandemi virus corona pemerintah mengandalkan vaksin buatan ,0,netral,,,,,,,
41,pemerintah berupaya pengadaan vaksin virus corona,-1,negatif,,,,,,,
42,pemerintah berupaya pengadaan vaksin virus corona,-1,negatif,,,,,,,
43,erick thohir menilai langkah jangka pemerintah mengatasi pandemi virus corona,0,netral,,,,,,,
44,semoga vaksin diproduksi putra bangsa memerangi virus corona bangsa ,-1,negatif,,,,,,,
45,pemerintah berupaya pengadaan vaksin virus corona impor vaksin pemerintah berncana membat vaksin merah putih dirncanakan diproduksi massal ,-1,negatif,,,,,,,
46,ketua pelaksana komite penanganan covid erick thohir menilai vaksin merah putih langkah jangka pemerintah mengatasi pandemi virus corona,0,netral,,,,,,,
47, tau vaksin menanggulangi virus corona nama vaksinnya bernama,-1,negatif,,,,,,,
48,presiden jokowi distribusi vaksin covid memakai pendekatan pemberian vaksin kelompok masyarakat vaksin dibeli masyarakat,0,netral,,,,,,,
49,pelaksanaan uji klinis vaksin corona sinovac uji klinis melibatkan warga peneliti berjalan diprediksi selesai maret,-1,negatif,,,,,,,
50,pemerintah berupaya pengadaan vaksin virus corona impor vaksin pemerintah berencana vaksin merah putih direncanakan diproduksi ,-1,negatif,,,,,,,
51,gamblang mui halal haram vaksin corona akim tvone,1,positif,,,,,,,
52,debat panas staf ahli kemenkominfo vs fadli zon hoaks vaksin corona ilc tvone,1,positif,,,,,,,
53,vaksin corona pertaruhan nyawa warga saksikan kabar malam tvone live streaming klik,-1,negatif,,,,,,,
54,vaksin halal asa menangkal corona saksikan kabar malam jam tvone live streaming klik,0,netral,,,,,,,
55, klarifikasi tenaga ahli ksp terkait molornya kedatangan vaksin corona akim tvone,1,positif,,,,,,,
56,pemerintah batal beli vaksin corona trubus rahardiansyah publik dibohongi dapatkan berita ,0,netral,,,,,,,
57,menunggu vaksin dokter corona lifestyleone,0,netral,,,,,,,
58, putra bangsa memproduksi vaksin dinilai langkah luarbiasa putra bangsa membuktikan produksi anak bangsa memerangi virus corona ,0,netral,,,,,,,
59,upaya pemerintah menanggulangi virus corona impor vaksin pemerintah berencana vaksin covid ,-1,negatif,,,,,,,
60,vaksin merah putih ditargetkan diproduksi massal mengatasi pandemi virus corona pemerintah mengandalkan vaksin buatan ,0,netral,,,,,,,
61,vaksin corona segra hadir seoga memperbaiki ,1,positif,,,,,,,
62,ditargetkan diproduksi massal mengatasi pandemi virus corona pemerintah mengandalkan vaksin buatan ,0,netral,,,,,,,
63, unjuk gigi proses pembuatanvaksin corona semoga berhasil,1,positif,,,,,,,
64, tau vaksin asli buatan anak negeri semoga vaksin diharapkan menekan penyebaran virus corona membaiknya perekonomian ,-1,negatif,,,,,,,
65,vaksin virus corona covid hasil pengembangan lembaga biomolekuler eijkman ditargetkan rampung pertengahan,-1,negatif,,,,,,,
66,direktur lbme prof amin soebandrio nama resmi vaksin diproduksi untuksementara vaksin corona nama vaksin merah putih,-1,negatif,,,,,,,
67, patut berbangga peneliti ri menciptakan vaksin corona buatan negeri bergantung negara ,0,netral,,,,,,,
68,vaksin corona dikembangkan lembaga biomolekuler eijkman lbme pt bio farma pt kalbe farma,0,netral,,,,,,,
69, kandidat vaksin corona melewati persen progres pengembangan,0,netral,,,,,,,
70,keamanan efektivitas vaksin corona fokus utama relawan dipantau,1,positif,,,,,,,
71,vaksin corona sinovac disuntikkan ribuan relawan bandung,0,netral,,,,,,,
72, mengatasi pandemi virus corona memaparkan vaksin merah putih langkah pemerintah melulu mengandalkan vaksin impor,0,netral,,,,,,,
73,pemerintah berupaya pengadaan vaksin virus corona,-1,negatif,,,,,,,
74,pemerintah berupaya pengadaan vaksin virus corona,-1,negatif,,,,,,,
75,upaya upaya erick thohir lakukan memenuhi pasokan vaksin corona,1,positif,,,,,,,
76,kepala lembaga biologi molekuler lbm eijkman prof amin soebandrio menghasilkan vaksin virus corona mandiri,-1,negatif,,,,,,,
77,pemerintah berupaya memaksimalkan ketersediaan vaksin virus corona,-1,negatif,,,,,,,
78,selamat ulangtahun kim sabu ayo season vaksin corona,0,netral,,,,,,,
79, memproduksi vaksin virus corona bergantung negara bahan baku vaksin virus corona,-2,negatif,,,,,,,
80, bergantung vaksin covid impor pemerintah vaksin bernama strain virus corona ,-1,negatif,,,,,,,
81,pemerintah berencana memproduksi vaksin virus corona bergantung negara bahan baku vaksin virus corona mantul banget,-2,negatif,,,,,,,
82, upaya pemerintah menanggulangi virus corona impor vaksin pemerintah loohh buatan anak bangsaa,-1,negatif,,,,,,,
83,laporan vaksin corona sinovac selesai januari,0,netral,,,,,,,
84,pemerintah berencana memproduksi vaksin virus corona bergantung negara bahan baku vaksin virus corona,-2,negatif,,,,,,,
85, tau vaksin menanggulangi virus corona nama vaksinnya bernama,-1,negatif,,,,,,,
86,salah upaya pemerintah menanggulangi virus corona impor vaksin pemerintah berencana ,-2,negatif,,,,,,,
87,upaya upaya erick thohir lakukan memenuhi pasokan vaksin corona produksi,1,positif,,,,,,,
88,vaksin corona melewati tahap uji klinis membutuhkan proses ,0,netral,,,,,,,
89, antibodi terbentuk disuntik vaksin corona via how,0,netral,,,,,,,
90, vaksin corona win,0,netral,,,,,,,
91,plis corona hilang vaksin capek kuliah online pengin internship hiksss,0,netral,,,,,,,
92,pakcik takut corona geng vaksin anak anak geng flat earth geng ye salam tunduk yahudi weh cerita kelakar,-1,negatif,,,,,,,
93,vaksin cegah kendalikan penyebaran virus corona covid reisa broto asmoro,-1,negatif,,,,,,,
94, ya influencer nge buzzerin suntik vaksin corona,0,netral,,,,,,,
95,australia gencarkan diplomasi vaksin corona china pusat produksi distribusi,0,netral,,,,,,,
96,beli vaksin corona ya kontrovesi corona ,0,netral,,,,,,,
97,pemerintah berusaha menyediakan vaksin melindungi masyarakat virus corona menjamin keamanan kualitas vaksin menerbitkan sertifikat memenuhi persyaratan yuk simak peran bpom,2,positif,,,,,,,
98,pemerintah berupaya melindungi warga negaranya serangan virus corona pemerintah vaksin melindungi masyarakat,0,netral,,,,,,,
99,vaksin corona temukan,0,netral,,,,,,,
100,ilmuwan vaksin virus corona bids ganas,-2,negatif,,,,,,,
101,australia gencarkan diplomasi vaksin corona china pusat produksi,0,netral,,,,,,,
102,perusahaan tiongkok perkembangan cepat perlombaan vaksin corona perkembangannya terhalang ilmiah menimbulkan potensi keamanannya,-1,negatif,,,,,,,
103,terkait diadakannya vaksin covid setuju mendukung vaksin covid manfaat semoga cepat terealisasi semoga wabah corona ,3,positif,,,,,,,
104, gue bingung virus covid cina negara asalnya tetiba menghilang gelombang pakai vaksin an vaksin dibikin cina ditestnya negara binun kasih pencerahan,-1,negatif,,,,,,,
105,skenario vaksin hantu kebangkitan corona akhir ,1,positif,,,,,,,
106, gratis teruji ampuh membunuh virus corona rakyat kelas vaksin,-1,negatif,,,,,,,
107, vaksin corona,0,netral,,,,,,,
108,perdanamenteri inggris berharap vaksin corona tersedia kuartal ,2,positif,,,,,,,
109,menyambut vaksin corona mata vaksin andalan bill gates,1,positif,,,,,,,
110, banya orang menolak vaksin corona,-1,negatif,,,,,,,
111,inggris kebut evaluasi vaksin corona ciptaan astrazeneca,0,netral,,,,,,,
112, alasan china pusat produksi vaksin corona,-1,negatif,,,,,,,
113,vaksin corona diuji klinis rampung,0,netral,,,,,,,
114,kayaknya menunggu corona selesai kemarin banget berita vaksin temukan turun an tnyata hoax eh ,0,netral,,,,,,,
115,btw kayaknya dikit buka beasiswa perkiraan rame vaksin corona persiapan ningkatin nilai,0,netral,,,,,,,
116,obat corona vaksin sih pil kada,0,netral,,,,,,,
117, somat corona tentara allah kafir sibuk menciptakan vaksin menyelamatkan hidup umat manusia welas asih kehidupan manusia,-1,negatif,,,,,,,
118,nak vaksin corona virus berjaya diwujudkan adakah golongan antivaksin menolak vaksin corona virus ,-2,negatif,,,,,,,
119, beks,0,netral,,,,,,,
120,pisahin monitor kondisinya musim panleu feline corona penyakit kitten vaksin cek doyan makan lemes diare muntah salah gejala langsung cuss vet,-4,negatif,,,,,,,
121,perusahaan bioteknologi amerika serikat moderna memproduksi vaksin virus corona akhir ,-1,negatif,,,,,,,
122, publik mengalami kecemasan lantaran corona pemerintah korea selatan mendesak warganya mengikuti vaksinasi flu,-2,negatif,,,,,,,
123,bill gates henti mengamati perkembangan vaksin corona dipercaya mengendalikan pandemi terbaru memprediksi vaksin corona tersedia perusahaan kandidat terbaik,4,positif,,,,,,,
124,vaksin corona ditunggu orang berkaca vaksin butuh vaksin,0,netral,,,,,,,
125,percobaan kandidat vaksin corona masif amerika serikat menyasar anak anak,0,netral,,,,,,,
126,vaksin corona ditunggu orang berkaca vaksin butuh vaksin,0,netral,,,,,,,
127,bill gates henti mengamati perkembangan vaksin corona dipercaya mengendalikan pandemi,1,positif,,,,,,,
128,kebut vaksin corona pembuatan vaksin ,-1,negatif,,,,,,,
129, aman silakan mencoba vaksin disuntikan rakyat vaksin erick thohir jamin vaksin corona aman membahayakan rakyat,2,positif,,,,,,,
130, rakyat kelinci percobaan vaksin corona buatan china china pusat produksi vaksin corona,0,netral,,,,,,,
131,suntikan vaksin biar kena corona,0,netral,,,,,,,
132,bill gates puji calon vaksin corona bill gates henti mengamati perkemban,0,netral,,,,,,,
133,bocah relawan vaksin corona termuda percobaan kandidat vaksin coro,0,netral,,,,,,,
134,kebut vaksin corona pembuatan vaksin vaksin corona ,-1,negatif,,,,,,,
135,alhamdulillah semenjak pilkada corona membaik terimakasih vaksin pilkada,2,positif,,,,,,,
136, gue gapercaya corona kepentingan penguasa vaksin dikit pilkada sbntar menjelang permainan penguasa,0,netral,,,,,,,
137,pemerintah federal australia mengambil langkah diplomatik dramatis mengumumkan komitmen bantuan juta dolar triliun rupiah vaksin virus corona negara asia tenggara pasifik,2,positif,,,,,,,
138,guru unpad cissy rachiana sudjana prawirakartasasmita vaksin corona china diuji coba tahap teruji keamanannya,0,netral,,,,,,,
139,gerak cepat borong vaksin corona bantah langkahi menkes terawan erick thohir jalankan perintah jokowi,1,positif,,,,,,,
140,herd immunity membantu menekan penyebaran virus vaksin virus corona dikembangkan ahli dunia,-1,negatif,,,,,,,
141, telaah vaksin virus corona peneliti berusaha mengembangkan vaksin pembentukan herd immunity vaksinasi ,-1,negatif,,,,,,,
142,,0,netral,,,,,,,
143,keputusan tanda alasan pemerintah optimis vaksin hadir salah vaksin corona jenis sinovac tahap uji klinis,0,netral,,,,,,,
144,cepat cepat vaksin corona berita bermanfaat,3,positif,,,,,,,
145,vaksin corona wajib hukumnya aman efektif evaluasi ilmiah diharapkan perhatian utama proses pengadaan pelaksanaan vaksinasi,2,positif,,,,,,,
146,epidemiolog universitas pandu riono vaksin corona tahap uji klinis fase selesai,0,netral,,,,,,,
147, mengacu ketetapan berlaku syarat keamanan khasiat mutu produk vaksin corona ,0,netral,,,,,,,
148, kusnadi biofarma kebagian juta dosis tersedia juta dosis kondisi pesimis vaksin corona sinovac sesuai target,1,positif,,,,,,,
149,keberadaan vaksin corona secercah harapan beragam jenis merek vaksin digadang gadang masuk pemerintah menargetkan november jutaan vaksin disuntikkan diundur kepastian ,0,netral,,,,,,,
150,vaksin corona wajib hukumnya aman efektif evaluasi ilmiah diharapkan perhatian utama proses pengadaan pelaksanaan vaksinasi,2,positif,,,,,,,
151,keberadaan vaksin corona secercah harapan beragam jenis merek vaksin digadang gadang masuk pemerintah menargetkan november jutaan vaksin disuntikkan diundur kepastian ,0,netral,,,,,,,
152,epidemiolog universitas pandu riono vaksin corona tahap uji klinis fase selesai,0,netral,,,,,,,
153, mengacu ketetapan berlaku syarat keamanan khasiat mutu produk vaksin corona ,0,netral,,,,,,,
154, kusnadi biofarma kebagian juta dosis tersedia juta dosis kondisi pesimis vaksin corona sinovac sesuai target,1,positif,,,,,,,
155,keputusan tanda alasan pemerintah optimis vaksin hadir salah vaksin corona jenis sinovac tahap uji klinis,0,netral,,,,,,,
156,cepat cepat vaksin corona berita bermanfaat,3,positif,,,,,,,
157,cepat cepat vaksin corona berita bermanfaat,3,positif,,,,,,,
158,keberadaan vaksin corona secercah harapan beragam jenis merek vaksin digadang gadang masuk pemerintah menargetkan november jutaan vaksin disuntikkan diundur kepastian ,0,netral,,,,,,,
159,epidemiolog universitas pandu riono vaksin corona tahap uji klinis fase selesai,0,netral,,,,,,,
160,vaksin corona wajib hukumnya aman efektif evaluasi ilmiah diharapkan perhatian utama proses pengadaan pelaksanaan vaksinasi,2,positif,,,,,,,
161,keputusan tanda alasan pemerintah optimis vaksin hadir salah vaksin corona jenis sinovac tahap uji klinis,0,netral,,,,,,,
162, mengacu ketetapan berlaku syarat keamanan khasiat mutu produk vaksin corona ,0,netral,,,,,,,
163, kusnadi biofarma kebagian juta dosis tersedia juta dosis kondisi pesimis vaksin corona sinovac sesuai target,1,positif,,,,,,,
164,pandemi corona merebak dunia ilmuwan mencari penangkal virusnya berlomba lomba vaksin mengebalkan tubuh manusia covid ,0,netral,,,,,,,
165,gerak cepat borong vaksin corona bantah langkahi menkes terawan erick thohir jalankan perintah jokowi,1,positif,,,,,,,
166, menghentikan virus corona vaksin butuh bahan cerita menghentikan isu hoax ,-2,negatif,,,,,,,
167, kandidat vaksin virus corona dikembangkan dunia dianggap terdepan mencapai uji klinis tahap salah satunya vaksin azd perusahaan bioteknologi vaccitech,-1,negatif,,,,,,,
168,perusahaan bioteknologi amerika moderna peluncuran kandidat vaksin corona mrna miliknya global ceo moderna mengaku menandatangani perjanjian pasokan pemerintah dunia,0,netral,,,,,,,
169,israel uji klinis kandidat vaksin covid minggu kemarin kandidat vaksin virus corona diuji manusia dikembangkan israel institute for biological research iibr pengawasan langsung kementerian pertahanan israel,-1,negatif,,,,,,,
170,trump membantah tuduhan joe biden menyerah menghadapi wabah virus corona trump bersikeras lonjakan pandemi akhir trump fokus pemerintahan beralih mitigasi vaksin terapi membasmi virus,-7,negatif,,,,,,,
171,pemerintah jepang berencana meluncurkan ruu menggratiskan vaksin corona pnduduknya ruu kompensasi pemasok vaksin efek samping serius perawatan gratis ditawarkan penerima vaksin mengalami efek negatif,0,netral,,,,,,,
172,jatah juta diprioritaskan tenaga medis petugas pelayanan publik anggota tni polri warga penyakit comorbit beresiko terpapar,-1,negatif,,,,,,,
173,peneliti jerman penelitian relawan masker hand sanitizer pelacak jarak menghadiri konser musik ruangan leipzig jerman agustus ,0,netral,,,,,,,
174,diplomasi vaksin australia bertujuan membantu negara negara pasifik asia tenggara cakupan imunisasi penuh memulihkan kawasan vaksin didistribusikan,2,positif,,,,,,,
175, pengin cepat hidup normal kayak anjir tau corona pergi dibanding nyuruh corona pergi berharap vaksin corona ampuh cepatan ditemuin,1,positif,,,,,,,
176, pandemik apak vaksin efisien membunuh virus corona ,-2,negatif,,,,,,,
177,airlangga bantah kabar ri batal beli vaksin corona inggris,0,netral,,,,,,,
178, alasan ri vaksin corona,-1,negatif,,,,,,,
179,jokowi libatkan mui cs yakinkan umat kehalalan vaksin corona,0,netral,,,,,,,
180,israel uji coba vaksin corona manusia,0,netral,,,,,,,
181,jokowi erick thohir siapkan strategi komunikasi vaksin corona,0,netral,,,,,,,
182,vaksin kunci utama penanganan corona,0,netral,,,,,,,
183,korea selatan sumbang us juta vaksin corona,-1,negatif,,,,,,,
184,blak blakn vaksin corona dbd,0,netral,,,,,,,
185,jokowi negara berlomba lomba memperoleh vaksin corona,0,netral,,,,,,,
186,trump vaksin corona tersedia minggu ,1,positif,,,,,,,
187,biden politisasi dapatkan vaksin corona,0,netral,,,,,,,
188, tolong pemprov pertemuannya pemprov menerbitkan perda wajib vaksin juta dendanya,0,netral,,,,,,,
189, negara eropa dariawal soft kebinakan ya ngadepin corona mah stagnan just pray for world guys gaperlu panik doain vaksin benaran terealisasi,-1,negatif,,,,,,,
190,vaksin corona,0,netral,,,,,,,
191,vaksin corona deh perkembangannya,0,netral,,,,,,,
192,giveaway vaksin corona,0,netral,,,,,,,
193,vaksin corona ya,0,netral,,,,,,,
194,ya ampun demo postif corona bertambah mati menunggu vaksin,-2,negatif,,,,,,,
195, kesenangan diberitakan golongan darah mudah ditulari virus corona uji klinis sesuai identitas ktp tanda golongan darah direkomendasi sesuai dosis penggunaan vaksin keadilan dibutuhkan,5,positif,,,,,,,
196,corona melaksanakan vaksinasi massal masyarakat ketua pmi vaksinasi kuncinya menyelesaikan vaksin test klinis vaksin januari februari produksi,1,positif,,,,,,,
197, menyalahkan pemerintah terpapar virus corona warga ya kena covid salahkan pemerintah vaksin pemprov banten berupaya mengendalikan menekan covid,-3,negatif,,,,,,,
198,disinfeksi siapkan unit donor darah tersebar sumber berita kumparan,0,netral,,,,,,,
199,kemunculan vaksin situasi pandemi corona dinilai faktor utama melemahnya harga emas,1,positif,,,,,,,
200,menteri bumn erick thohir pemerintah melibatkan majelis ulama mui kehalalan vaksin ,-1,negatif,,,,,,,
201,menteri bumn erick thohir menggelitik vaksin corona sih pertanyaannya,1,positif,,,,,,,
202, dikabarkan batal membeli vaksin virus corona perusahaan farmasi inggris astrazeneca ,-1,negatif,,,,,,,
203,pt bio farma persero khusus mencegah pemalsuan duplikasi vaksin covid,-1,negatif,,,,,,,
204,pemerintah australia mengamankan akses vaksin corona covid asia tenggara negara begara kawasan pasifik,0,netral,,,,,,,
205,gue jenazah korban corona dibuang lubang kubur kayak buang bangkai ayam makasar cak bjo kon arani zolim rezim jokowi laporan ahli waris yutub praktek penjualan organ regone vaksin mek ewu jaluk jutaan jualan bebek geprek joki,-1,negatif,,,,,,,
206,ngebut vaksin test and tracing ,0,netral,,,,,,,
207,cek fakta puluhan orang korsel meninggal disuntik vaksin corona cek faktanya,-1,negatif,,,,,,,
208,papa ngomel gue bilang berita anak putin meninggoy gara gara vaksin corona hoax kelar kelas ngomelnya ampun,-2,negatif,,,,,,,
209, corona vaksin ladang ujicoba tiongkok komunis,0,netral,,,,,,,
210,vaksin melatih kekebalan tubuh melawan virus virus corona kenal kebal vaksin melatih tubuh kenal lawan kebal penyakit virus bakteri,-5,negatif,,,,,,,
211,vaksin melatih kekebalan tubuh melawan virus virus corona kenal kebal vaksin melatih tubuh kenal lawan kebal penyakit virus bakteri,-5,negatif,,,,,,,
212, dukung upaya pengadaan vaksin corona ,0,netral,,,,,,,
213,besok tanggal november demo serentak dunia penolakan vaksin berhubungan corona kak,-1,negatif,,,,,,,
214,kali juta untung banget,1,positif,,,,,,,
215, lupa vaksin corona ya bong wkwkwk kejang kejang,-3,negatif,,,,,,,
216,november wish corona pls cepat hilang vaksin dilaksanakan gue beraktivitas diluar normal masker sesek pakai masker sinus,1,positif,,,,,,,
217,lukman mencontohkan fatwa mui memperbolehkan penggunaan vaksin measles rubella mr mengandung babi,-1,negatif,,,,,,,
218,beredar unggahan orang meninggal vaksin corona,-1,negatif,,,,,,,
219,sehat ya bu semoga gaduh vaksin corona beres,1,positif,,,,,,,
220,ketersediaan vaksin covid ,0,netral,,,,,,,
221,indonesian vaksin covid uji coba pasien covid corona,1,positif,,,,,,,
222, curug vaksin corona kah,0,netral,,,,,,,
223,mengenal vaksin merah putih vaksin corona buatan pengembangan,0,netral,,,,,,,
224,vaksin corona ditunda rakyat kelinci percobaan,0,netral,,,,,,,
225, tayang streaming ilc tv one bahas vaksin corona fadli zon ridwan kamil hadir,0,netral,,,,,,,
226,fadli zon pemerintah gratiskan vaksin virus corona,-1,negatif,,,,,,,
227,fadli zon bukti harga vaksin corona eropa rp rp pos kupang,0,netral,,,,,,,
228,ustadz baequni sarankan divaksin alasannya virus corona covid menyebar negara dunia negara memproduksi vaksin covid mendistribusikannya negara negara,0,netral,,,,,,,
229,review dunia perewean rame pikir tl ku liburan tenang isinya vaksin corona demo omnibuslaw lol,1,positif,,,,,,,
230, november mintanya muluk muluk mudah mudahan dikasih member member betah main cepat vaksin corona biar pulang,2,positif,,,,,,,
231,presiden vaksinasi covid mengikuti standar kesehatan terburu buru perusahaan bioteknologi global mengembangkan kandidat vaksin virus corona mengendalikan penyebaran pandemi covid pemerintah ,0,netral,,,,,,,
232,semalam mengobrol salah teman tni statement heran beliau wisma atlet jaga ketat aparat ya tni salah obyek uji coba vaksin corona ya ku tersenyum mendengarnya,-2,negatif,,,,,,,
233, vaksin corona duluan,0,netral,,,,,,,
234,projo vaksin corona duluan jatah bumn pemerintahan,0,netral,,,,,,,
235,pemerintah menyusun roadmap pemberian vaksin virus corona vaksinasi covid kelompok sasaran vaksinnya uji ya,-1,negatif,,,,,,,
236,harap vaksin corona pokok kelapa sawit biar diorang terciduk,0,netral,,,,,,,
237,bayangkan vaksin corona virus zombie,-1,negatif,,,,,,,
238,mengerikan usulan bayangkan orang terpapar corona meninggal vaksin orang meninggal terpapar peringatkan pemerint,-3,negatif,,,,,,,
239,ketua kpc pengin niken widiastuti hoax masyarakat enggan mempercayai vaksin diusahakan pemerintah,-1,negatif,,,,,,,
240, kabar omnibus law stasiun televisi lokal menyoroti mu kabar gedung kejaksaan agung berita mu dengar kabar corona vaksin ramai dibicarakan kabar sebentar pemilihan daerah,0,netral,,,,,,,
241,vaksin lahir plandemic hoax corona bunuh rakyat lu,0,netral,,,,,,,
242, baca who nemu vaksin but corona sekian vaksin diuji itupun vaksin aduh takut,-1,negatif,,,,,,,
243,vaksin corona nyx,0,netral,,,,,,,
244,ari maraneh naraon wae gawe wayah kieu karek ngumpulkeun ahli jeung pakar keur neangan sumber corona halah halah halaaaaahh salila ieu ukur marabok vaksin silaing es oooll maraneh,1,positif,,,,,,,
245,vaksin corona release mudik panik,-1,negatif,,,,,,,
246, vaksin corona berlabel halal,1,positif,,,,,,,
247,jusuf kalla wabah corona reda ketersediaan vaksin salah penyebabnya,-2,negatif,,,,,,,
248,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
249,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
250,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
251,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
252,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
253,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
254,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
255,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
256,monggo vaksin corona menunggu siapin ribu ya byarnya wkwk,0,netral,,,,,,,
257,ilmuwan as yakini aman tidaknya vaksin corona november,1,positif,,,,,,,
258,trump vaksin corona tersedia minggu ,1,positif,,,,,,,
259, antivirus vaksinnya corona virus tipe kena tipe mati ya vaksinnya kali varian virus kasih vaksin negara uang negara ,-3,negatif,,,,,,,
260, menunggu vaksin corona kepastian,0,netral,,,,,,,
261,survey nya buzzers istana ya kenyataan nya orang vaksin corona vaksin nya ,0,netral,,,,,,,
262,iya bagus hasilnya vaksinasi campak polio namanya vaksin corona ditemukan ,1,positif,,,,,,,
263,wkwkwkw apakabar monyet vaksin covid vaksin mata orang orang kayak vaksin flu vaksin cervix hpv ujung nya aware privileged the end of the day herd immunity terpapar corona vaksin,0,netral,,,,,,,
264,portaljabar pemerintah menggembar gemborkan pengadaan vaksin virus corona covid ditargetkan tersedia depa,0,netral,,,,,,,
265,setuju sih tergesagesa vaksin bertujuan pengobatan preventif menambah semoga terbaik negeri tercinta ,3,positif,,,,,,,
266, tertipu janji manis vaksin corona butuh kepastian butuh penjelasan,1,positif,,,,,,,
267,vaksin tergesagesa kompleks persepsi masyarakat komunikasinya kurangbaik kejadian kayak undang undang cipta kerja jokowi ,-3,negatif,,,,,,,
268,nya butuh pengamatan kasih janjii ya,0,netral,,,,,,,
269,diharapkan pemerintah mengambil langkah cepat mengambil keputusan tergesagesa ,0,netral,,,,,,,
270, dibaca ditautan ,1,positif,,,,,,,
271,pemerintah memesan vaksin covid negara tetangga uji klinis efek sampingnya jujur vaksinasi diuji klinis negara sukarelawan orang ,1,positif,,,,,,,
272, stres ya jul entar kena corona lu vaksin mati,-2,negatif,,,,,,,
