,tweet,labels
116,lagi membela diri sekaligus pembelan ini tuh sekalian carsen juga ya ngua kalo jadi lu kagak banga belajar mapel doang asu,3
117,jenis orang yang bikin malas dari awal ketemu adalah yang senang banget nyombongin diri sendiri ya mungkin sebenarnya karena dia pede ya jadi butuh pengakuan tapi malas banget sih mengobrol sama orang kayak meski pun dia cantikganteng banget,3
118,sama gincu berani dasar banci,3
119,admin kok dendaman engak usah admin tolol,3
120,ok masalahnya aku sikda pun banding kolej mrsm ngan sbp aku just padah jangan banding result exam tiga buah sekolah ya bah paloi aku padah tiga ya paper exam lain bah bebal kau paloi kah bodo,3
121,pasti bani kampret yang menyamar nlemparin minyak babi,3
122,kayak komunis ga menghargai jasat manusiacebongkomunis,3
123,lu blm folow kan sompret,3
124,ibu pasti wanita wanita belum tentu jadi ibu goblok keahlian cebong hanya tukang tipu cebong mah goblok ketulungan plonga plongo mengakibatkan optimisme berlebihan gantipresiden plongaplongo dun,3
125,tahi sih fadlizone,3
126,woi kampret gelik gue lihat lubelagu amat orangsongong di penci jidat lu hah,3
127,keypoint cebong dungu iq sekolam ngeyel ujung nya balik ke kolam pokoknya gantitrus apa lagi ya,3
128,pasti kamu manusia terbuat dari tanah dan kecampur tahi kucing,3
129,oh scaming ya urus lah bego orang lu butuh,3
130,lu kampang,3
132,cebong takut anies akan mnyapu habis got slruh indonesiahinga cebong bisa hidup lagi,3
133,cebong memang suramdolar naik dia mingkemtka berbondong masuk dia mingkemyg di meributkan bong cuma ama pks xa,3
134,wah ibu kau sih gerwani di nkbenkz babi sipit bijimane bentuk adikmu nanti ya chong kau udah hancur hasil di nth kuda bijimane sama babi cipit ngoahaha fantas,3
135,pemberitan saracen diframing katak seakan tim prabowo dan aniesandi seberulnya itu media menumpahkan sakit hati katak dan cebong ehe,3
136,hahaha benar lo giliran majikan dia mesum sih kunyuk mingkem sok suci pula mengatai memikirkan sex muka lacur lu nyuk,3
137,even dia ustaz berserban berjubah putih tapi kalau drive macam celaka dia tetap tergolong dalam golongan babi ya anak anak,3
138,yang perek kan ibu lo sih pasti dol ya,3
139,pada caza kok benci banget film tmx jawabanya cpemainya adipatix simple kan adipati itu ganteng sih cuma dia itu aktor tdk beretika childish dan kampungan terlalu drama di hidupnya dan his picture always my explore duno whyx,3
140,kamu cacad,3
141,kalo cebong sih pasti senang sama omongan ga berbobot kayak,3
142,kamu budek cuma tulinga,3
143,hahahaha blunder lu cebong gak mengasih tuh pem pusat dengan alasan ham rakyat aceh ya mau kali pun coba kau datangi pemerintah bilang suruh buat hukum islam kafah di aceh kalau dpr,3
144,lo mengomong kagak benar bangkai,3
145,budek lu mah,3
146,bacot apanya gue ngulang perkatan gue gegara lu budek,3
147,iya lu babi nya cif wkw,3
148,usah debat sama para kampret kerena otaknya sudah rendam kencink onta,3
149,partai plus konco lu bisanya cuma bikin malu indonesia min mbok ya kalo goblok itu kebangetan min,3
150,itu mah neneknenek heran sama cebong biasay bohong terus,3
151,orang idiot berkopiah,3
153,jangan heran pemerintahan jokowi sekarang ini budaknya kulinya cina ahok kafir dan naga,3
154,hijrah katanya tapi hijrahnya kearah lebih parah lagi ada sarananya duit jadilah dia ahlikul mabok dan penikmat selangkangan pecun sudah dasarnya isi otak cuma sempak susah di robah,3
155,maf kunyuk bronenak banget rasan merekasebar hoax mafsebar hoax lagi maf laginmesti sapu dulu biar jera nih orang,3
156,lost respect untuk kesekian kalinya buat agency lo bangain buat artis yang lo bangain nkelakuan tahi kucinxa,3
157,openbosurabayanmasih online kaunsempaknakun tipu bangsatnbajingan kai,3
158,jepitin kontol gua pakai memek lu sini,3
159,eh cebong jaga tuh congor lu kalo mengomong memangnya salahnya bong presidenbaru presidenbaru gantipresiden gantipresiden gantipresiden,3
160,eh perek gue balik lu hiatus tahi,3
161,bilang sama itu sih kunyuk usah terlalu bynk omong suruh dia cari kerja bener jd calo politik ngejadin agama buat tameng nte lihat nanti karmanya,3
162,banyak nyerang wa ada kira wa cebong,3
163,duh cebong mengomong apa lo nyambung,3
164,saya hanya kasar thd sih brengsek brisik itu bukan thd anda sana gawe lagi perdalam ilmu biar dungu seperti sih onta busuk itu punya posisi bagus di sini malah bertingkah busuk jadi sampah di gurun sana seperti dia anda dan pasti baik lagi,3
165,priski bolot banget,3
166,sudi rakyat punya presiden jongos kacung cina itu cuma presidenya cebong cina,3
167,kalo mau buat hoax pintar dikit dongudah dungu begokasian entar pengikut nya ikutan dungu dan tololx,3
168,bacot banget bgst,3
169,jawabanya goblok masnjaka sembung kan bawa sepeda mau sekolah masa bawa golokgila nih orang tua nya,3
170,rezim utangpencitran demi berkuasa mbalirezim kampret,3
171,lihat memek kamu saya jadi horny sayang,3
172,diradio tapi anda bisa melihat ya wah bolot,3
173,ya anjir salah tag wkwkwk apan lu gue jenie zuyle lisa wkwkwk,3
174,jawabanya karena pasukan onta dengan pemimpin brengsek kini buron mereka sama menikmati hasilnyanmereka bahagia menikmati uang haram karena mereka satu keyakinan,3
175,maunya eue kamu,3
176,maju lu sini anjingx stail ah lepastu orang reply gung gung gung gung,3
178,ketimpangan sosial apa picak mata lu kaum kampret model kau selalu memutarbalikan fakta sebenarnya pada tolol mikirnya,3
179,bani tanpa sumbu alias taplak alias cebong mulai berkerumun,3
180,udik gay lagi,3
181,banga jadi jongos memang lu sendiri ngapain babu njilat memek bosok jablay alexis,3
182,alhamdulilah masih banyak orang tolol di twiter aku kelihatan pintar,3
183,umar bin khatab ah lu jablay siap poligami,3
184,banci kalau memang gentlemen sebut saja siapa orangnya,3
185,sa tanya psl kerja kau tanya lain dari kerja aduh sa umban kau guna babi,3
186,kalo pengin mensyen gue lagi genepin dulu folower ya bong mensyen gue lagi ras masuk kakus ada waktu buat cebong dungu berfolower dijit,3
187,goblok kak kecebong ngakunya pancasila nkri otak dan hatinya komunis katanya rezim anti korupsi tapi dlm mingu kali ot kpk,3
188,maju lu sini asu,3
189,ya kasih tau ke pd bang lo itu kasarnya ya bisa wae kesetnya jeyepenjangan sombong lu tahi onta,3
190,kalah suara terus menyalahkan katanya jaman jokowi oke kok dibilang mundur haha kampret,3
191,lagian kunyuk ributin kawinan anak jokowi udah bulan ylnmake ini mah,3
192,bangkai ah awas lu memfitnah gua ye berak,3
193,banyak banget lelaki brengsek di dunia ininmudah an kamu termasuk ya,3
195,kau cuma pandai jilat pantat penguasa pandai pula kau menantang orgdasr pelacur politik,3
196,duh lu goblok ya itu sih nur sugik itu mengomong dalam acara apa ahok dalam acara apa memang ahok pernah mengomong ngentad ngentod jancok ngasik ahok gelar siapa,3
197,ukm itu golongan ibliskrn hanya iblis suka adzan,3
198,apak kau babi,3
199,makar omonganmu zon suka adu domba dan bawa nama islam agama pegangan hidup seseorang sok suci kamu zon lambemu ndoweh banyak bacot,3
200,adian gaya lu kayak beruk klo supir tembak metromini masuk dprnkampungan lu,3
201,bapa goblog banget diancuk picek konyol yang anjing jiancuk ancuk picek sekarat diamput telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk idiot keparat picek telek pejuh siwuk kotang siwuk,3
203,ada korban sexualharasment berani speak up malah dibuly dibilang lebay ironisnya sedikit kaum hawa ikut an nyinyir kayaknya kalian terbiasa dikirimin foto titit deh empati buat sesama cewek jadi ada saveviavalen,3
204,yaelah chat mengurusi noh deh mesum angotadpr mingkem nyata selingkuh kalian pura budek bong otaknya,3
205,bangkai lu yen cabul,3
206,kalo pemerintah atau mungsuh pemerintah teliti mereka bisa periksa apa harapan mansyarakat ini karena ini dilontarkan eksplisit dan terbuka yaitu harapan pada tehaer,3
207,biadab itu memang perempuan iblis,3
208,contoh kelakuan iblis kafir ketika tersandung kasus dia berpeci seolah olah seorang muslim pelakunya padahal kafir kristen begitu cara mereka merusak islamsehinga muncul stigma negatif terhadap islamdi bantu media yang semakin kurang ajar,3
209,pakai jokowi bisa menguasai saham pt frefo persen kaum bani cabul kaum kampret kejang nyinyir,3
210,oh rujukanya orang merah juga yang dulu temamenan bareng sama pki kapokxc xb begonya lu bong,3
211,bencong ivan lo percayahadeuh kakak nya pelakor banga yaiyalah dia bilang gosah jujur amat dese hobi boboin laki mulu saban ke bali,3
212,dimampusin tuh kunyuk penyembah lembu,3
213,partai plus konco lu bisanya cuma bikin malu indonesia min mbok ya kalo goblok itu kebangetan min,3
214,cebong pakai seragam biar ketahuaneh makin kelihatan dungunya,3
215,oh scaming ya urus lah bego orang lu butuh,3
216,ini sih kerjanya delay mulu setan,3
217,tipikal bani bin onta kampret cepat memuji yg dihormati cepat juga mencaci nya kembali salam tgb ngoahaha bubarkanpks,3
218,gampangan banget sih jadi orang baru dipuji dikit kayak mau mengasih kehormatanya haha tolol,3
219,hijrahlah terlambatnsaya yakin semua akan menjadi cebong,3
220,wah bisa alay juga lu hyung gua kira hidup lu nista ternyata alay juga,3
221,itu cebong dongok sensi amat mas,3
222,goblok bayangkan kalo janin itu lu ngetiktok goblok banget najis ini nih knapa gua suka kalo orang bego pegang hp pasti ada hal goblok yang dilakuinya goblok memang anjir emosi tahi,3
223,openbosurabayanmasih online kaunsempaknakun tipu bangsatnbajingan kai,3
225,bani kampret dungu kontrak di stop lu sangup gaji ribuan kariawan nya lu sangup beli alatxc xb super cangih gali emas disana ujungxc xb nya lu nyalah kan pemerintah lagi,3
226,gue kira lu tidur ternyata lu mengetik tahi onta banyak banyak,3
227,katanya pintar gue tanya gugat nya malah ngataian cebong ngeles kayak bajaj loe kata mengugat itu gampang hahahaha,3
229,apansi tahi baru doang belagunya selangit ingat ada karma entar lagi kalo idol lu flop gua ketawa paling keras,3
230,gak bisa nangkep kalimat dari awal sok pintar sekolam pakai ngata islam kasihan banget teman cebong lo yang islam mah mati an membela cebong kapir taunya agama islam di hina sama cebong kapir nih satu hahaha nas,3
231,perjaka di jual nsok sok an mau boking tante idiot anjir,3
232,maju lu sini babi,3
233,cebong di kasih fakta dia bilang dusta cebong dikasih dusta dia bilang realita cebongers memang bikin gemesx,3
234,awas kalo puisi sukmawati dipakai senjata berpolitik udik,3
235,tipiwan tipi favorit kaum fiksi dungu,3
236,cebong boros bacot hemat pakai otak,3
237,ahok ini sosok komplit selain hatinya busuk ucapanya menjijikan perbuatanya kalah brengsek menistaxa,3
238,hah katanya saling melengkapi orang buktinya kamu juga goblok si,3
239,woi kecoa lu bisa baca dari atas jangan terlalu dungu ya dasar kecoax,3
240,iri lu tolol,3
241,pesan sy tangkap dari cebong liberal anti islam adalah njangan gunakan islam dalam berpolitik pisahkanlah agama dari politik nitu strategi basi ala,3
242,tul juga noh lihat tas istrinya jokowi kampungan,3
243,semoga dsnajib lindungi alah kejahatan kaum kapir munafik memusuhinyamin ya robie,3
244,yeu kampang lu main twt juga,3
245,lagian kunyuk meributkan kawinan anak jokowi bulan ylnmake ini mah,3
246,goblok lo asli,3
247,masih lo mengurusi urusan gua hina banget lo jadi orang,3
248,terlalu biasa anda dasar bolot plukaku,3
249,babi kaulah maju lu sini anjing,3
250,betul setuju gue bosan muak apalagi kelakuan cebong nyinyirnya kebangetan,3
251,karena partaimu pdip itu bajingan,3
252,memang para cebong kalo mengomong itu jauh ilmu dan wawasan memang rataxc xb bodoh mudah untuk dibodohxc xb jadi cuma caci maki mengomong ngelidur tanpa ilmu,3
253,adren mengerti apa yang dirasakan puan itu pasti sangat menyakitkan apalagi melihat kekasihnya bersama orang lain nkau harus tegar kau tak boleh menangisi seorang bajingan yang tak sepantasnya kau tangisi,3
254,oh pasti lah cyinta dukung presiden nya permadani ali sera mungkin cebong pasti cuma kampreters cantik bx,3
256,mengakak mulu lu kunyuk,3
257,bodat komunis kau,3
259,ah lu dibayarin ke luar negeri masih ngeluh dasar bersyukur nkntl,3
260,mereka kalahkan penguasa media cukong dan sembako di pilkada jakarta mereka bersiap menang di daerah lain tingalkan sih raja hutang parpol terkorup di kpk cukong koruptor blbi rp triliun bandar narkoba tenaga kerja asing pencabut subsidi rakyat banci sembako,3
261,sedang terjadi seorang teman pas kuliah dulu sering banget mengatai jokowi pemerintah ini itu lah jokowi ini itulah ngechat gue dan gimana sih tipsnya biar lolos tes cpns,3
262,jijik anat nak angkat cal kaujijik tau tak jijik,3
263,eh sori bangetnih milton benar lu mengapai punya kalo cuma mau bilang simpati sama empati sama sama penting goblok,3
264,belaga pilon lo cebongx nscrol dong nhp lo doang smatapi otak lo ada di ujung pantatx,3
265,victor baru sekali berkoar kalian kayak kbakaran jengotngmn viktor berulang kali berkoar di sanasini di masjid di jalanan sih banci guru besar kalian apa viktor chat mesumpasti kalian bikin rusuh seduniandasar munusia munafik,3
266,itu kampret banget lohgak kuat beli telor jadi tebar hoak kampret kuat yakoruptorsama selegkahan iya kancoba lu lihat pakai mata sama otak logubernuran ygkoruftorcw ada berpa mpretkampretelor kampret murah neria,3
267,jokowi pamer dungu di ranah publik itu kuar biasa,3
268,orang bego kebanyakan minum amp makan kotoran onta otak nya somplak,3
269,kunyuk raimuklo bacot mikir dlupercuma lu duk du dewan,3
270,kmrn terbagak lihat kebodohan kok panas sdh di bilang kalo berkata keadan sendiri itu org lain di ulang dungu btl cebong ini,3
271,sih bani kampret nyecernya cuma berani ke gue kalo ke eloe mah dia keder,3
272,trus di salahkan siapa dodol wkwkwkwk kalo telur murah banyak beli kan sama untung ini mahal bisa beli masih di membela dasar cebong terkutuk,3
273,hayolo sekarang siapa ngemis dicarin sponsor kemarin kemana pas aku lagi baik hati mau bantuin kamu mepet acara bingung pada sponsor perusahanlu sendiri apa yang mau lu mintain tolong,3
274,pakcikdahtua nak apalah kudrat pakcik boleh buat setakat pakai kopiah sedekah jual kismisnpakcikmudalagi bila pakcik warna rambut kuning bawa duit banyak nkitaok kan nini adalah anjing gtgtgt xbcx xbcx xbc,3
275,goblok banget deh anjing,3
276,aduh aduh nenek makin tua makin jahat apakah politik identitas membuat hatimu buta coba pikir norak bukan kampungan nek nek,3
277,ya cukup aku meladeni kamu silakan mengobrol sesama kampret maf lho ya cebong itu sbnrnya sibuk perlu meluangkan waktu interaksi kampret penganguran elo,3
278,mampus lu gembel kalah debat kan sama anak kecil kelihatan bahwa lu itu kaum cetek tau artinya kaum pikiranya dangkal dan sifatnya memaksakan argumenya diterima padahal bodoh,3
279,usernamenamename mirip sodara anjingnya lu cuk jancuk hahahaha itu pribadi bukan golongan tagih gih orangnya hahahaha bonekselamanyajancok,3
280,lebih baik pilih ahok pilih se iman koruptor munafik bodoh kau,3
281,bknya imam cabul dibelain jt tolol lho terbayang kan betapa begonya manusai model kau takut msk surga,3
282,maunya indonesia seperti singapura kasih cina berkuasa dasar cebong otak reklamasi brekekekekek,3
283,akutu ndabisa kalo kamutu nst bacot,3
284,deh ya gue jelasinkan kalo dikasih dare ganti ava jadi pict banci kan ya nah lu sekalian deh ts jadi banci nya elah,3
286,kotor masalah yang penting bahagia warganya cebong mana mengerti,3
287,teriakin ombusmin dan ombusman banci kalengnombusdmanbancikaleng,3
288,kata cebong nah telur naik cuma an berisik dasar kampret miskin xf xf,3
289,arseto itu monyet tahu adab dan moral,3
290,eh kasar kau kampang,3
291,cebong eh berudu seolah terfait acomplianies nyapres atau tetap gubernur hidup tetap tenang nikmat banget gue deh kalo begini buat mainin cebong,3
292,asu itu,3
293,sangat setuju sekali bangsa indonesia butuh seorang pahlawan nasionalis mengajarkan kita untuk mencintai nkri para kaum radikalis pecinta kencing onta biadab ini disingkirkan kerjan rad,3
294,pasti perempuan kayak cih pero lo di umum sok kalem di blkg garunsang liar kayak pecun sebulan mangkalxa,3
295,anjing goblog setan bangsat,3
296,hey prianjanganlah jadi bencong ideologi nkiara artha proyek rc di dampingi lansung oleh wakil pm rcndi kasih izin nyansementara ada mantan atlit sakit keras harus hidup di tendankorban kebijakan radikal ridwan kamilnjd kau itu kaya bencong bicara ekonomi,3
297,nih orang keluar dari memek perek ngapa senang gue bilang emak lu pereketemuan yuk,3
298,bacot lo jakarta,3
299,kmu di banding ar jauhlahkoen menungso doyan dilati selet kokwes gilanikmu tukang fitnahtukang fitnah dgn pemakan daging manusiananti partai lagi kau ikutismoga orang medan cuma kamu yg bejat,3
300,gede bacot gede cocotemang kamu turut andildasar mulutnya bedebahkacung gerombolan jomblo akut sakit jiwa,3
301,guoplok baca beritanya dulu cebong terkutuk bukan asal melarang dongok jnhan di membesarkan,3
302,next ambil alih raisa tangan asing byk bani kampret kelojotan huekekekek,3
303,padahal pak jokowi deh pesan kerja kerja dan kerja eh ini malah demo sigoblok teh,3
304,aku bisa ngebayangin perasan mbaknya baikbaik memberitau kalo beliau itu disabilitas kok malah dibales mati lu bajinganxdxdxd,3
305,modal cebong cuma copas bukti kapasitas otak minimalisx,3
306,mampus lu gembel kalah debat kan sama anak kecil kelihatan bahwa lu itu kaum cetek tau artinya kaum pikiranya dangkal dan sifatnya memaksakan argumenya diterima padahal bodoh,3
307,ada percaya akun ininx nx wa nawal nya dia percaya buatncamsex sy buktikan vc beberapa detik pas suruh tf alesan nya neko nxacx muka nya kayak monyetcx,3
308,wkwkwkwkwkw tapi betulbetul bajingan orang itu,3
309,eh malam monyet jadian betul tau special force cerita curi bank kan kita malam malam plan baik punya curi air kat cafe sorang jaga hujung sorang jaga depan sorang tengok cik syakri hahaha gempak babi,3
310,profil manusia yang terlahir dari sperma yang tertukar jadilah kaum bani onta dan bani kampret,3
311,kalau agama lain anda bilang kafirpantas kalau kafir korupsikalau pemeluk islam korupsi kau bilang itu oknumdasar bau busuk kau punya mulut,3
312,dan engaku malah party sana sini tak berhenti seperti cinta ku kepadamu tak pernah berarti bajingan,3
313,ada cebong bang dia merasa paling benar,3
314,pndukung prabowo arb sda bejad tabiatnya kasar termasuk ini gtgt semoga dilaknat oleh alah,3
315,siapa bilang dia ustadzpembualsinting dia,3
316,persetan dengan bocah kntl so kerad kecewa sekolah ganti nama sok pemes lu tongbiar apa cobansekola lu kerjanya cuma pacarantidur sama jajan so sok an bilang harga diri,3
317,sinyal mu tahi su,3
318,matanajwadebatjakarta pak anies sudah meningalkan ketenangan dan ketulusanya dalam debat malam ini mjd agitatif dan licik semoga kalah kau anjing,3
319,tolol lu njink,3
320,kaum bani kampret yang bereaksi negatif,3
321,mau dikatai anjing ya,3
323,ahok tahi menfitnah memang lu tukang caci maki perempuan asu ahokpastitumbang debatfinalpilkadajkt,3
324,kamu silit ardhogx fxb,3
325,btp the best abaikan kaum kampret otak micin,3
326,ketemu klien orang batak dia ngegas gua ikut ngegas brengsek malu kantor,3
327,gue merasa bego lu jawab begitu mulu,3
328,jadi rahasia umum bongnkoruptornrampoknpelaku maksiatnpelaku bisnis maksiatnkaum lgbtnpenjilatndukun sesatndukun cabulnbla bla blantergabung dalam bani cebong,3
329,bagaimana dengan kalimat aku selalu ada buat kamunjangan bacot doang buktintapi akan lebih baik kalau kalimatnya dibuat seperti ininmaf kalau aku enga bisa kasih solusi apapa kalau kamu butuh aku dan aku bisa aku pasti ada buat kamu,3
330,gcma gara dia publishing chat sexual harasment dia menurut lu alay caper bawa perasaan lu bawa masa lalu dia are fvcking kiding me aja indonesia ini banyak yg ngalami pelecehan seksual lebih pilih diam ya netizen macam lu masih banyak,3
331,logisnya ya memang pesanan atau memang ahoker mup on lah memang warga dki bego,3
332,jangan asal mengomong ndasmu congor lu sekate anjyng,3
333,terbukti memang biarpun kalian menyebut kita cebong otak kita pintar kerja kerja kerja kaya kampret cocot banyak mulut otak dipakai scren shot percakapan kita buktikan,3
334,usernamename oh iya bro sih mumun blok gua tuh padahal gua pernah hominem apalagi persekusi dia bila mau jadi ateis banci monolog mending dia ke china vietnam di sana negara paling ateis di dunia paling kejam mbungkam agama,3
